             Fingerprints used:
             Type:  BP
             C :  60 G1s  48 G2s
             H :  60 G1s  48 G2s
    0.07s: Processing training data
             Number of training images: 570
    0.74s: Trying to load training fingerprints
             Fingerprints were not found
    0.74s: Calculating training fingerprints
    0.74s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.188552     0.061723     1.259803
           2     0.186618     0.057068     1.256379
           3     0.185302     0.054361     1.252630
           4     0.184361     0.053359     1.247836
           5     0.183531     0.053414     1.241584
           6     0.182584     0.053785     1.233776
           7     0.181382     0.053997     1.224414
           8     0.179878     0.053900     1.213486
           9     0.178067     0.053545     1.200851
          10     0.175958     0.053069     1.186271
          11     0.173563     0.052609     1.169537
          12     0.170915     0.052269     1.150647
          13     0.168075     0.052096     1.129940
          14     0.165069     0.052074     1.107610
          15     0.161757     0.052137     1.082754
          16     0.157961     0.052208     1.054182
          17     0.153643     0.052228     1.021720
          18     0.148893     0.052159     0.986121
          19     0.143806     0.051980     0.948107
          20     0.138421     0.051692     0.907971
          21     0.133049     0.051329     0.867965
          22     0.128283     0.050958     0.832464
          23     0.124515     0.050639     0.804352
          24     0.121562     0.050374     0.782300
          25     0.119046     0.050118     0.763550
          26     0.116678     0.049819     0.746049
          27     0.114068     0.049438     0.726894
          28     0.111007     0.048965     0.704454
          29     0.107575     0.048443     0.679175
          30     0.103859     0.047951     0.651435
          31     0.100002     0.047569     0.621999
          32     0.096336     0.047362     0.593186
          33     0.093169     0.047341     0.567413
          34     0.090497     0.047408     0.545081
          35     0.088066     0.047393     0.524862
          36     0.085661     0.047181     0.505560
          37     0.083225     0.046788     0.486686
          38     0.080831     0.046338     0.468316
          39     0.078698     0.045986     0.451587
          40     0.077127     0.045825     0.438669
          41     0.076240     0.045809     0.430930
          42     0.075715     0.045776     0.426461
          43     0.074999     0.045575     0.421176
          44     0.073821     0.045190     0.412762
          45     0.072354     0.044731     0.402141
          46     0.070972     0.044341     0.391848
          47     0.069929     0.044088     0.383813
          48     0.069199     0.043926     0.378088
          49     0.068559     0.043751     0.373237
          50     0.067817     0.043489     0.367956
          51     0.066964     0.043139     0.362162
          52     0.066130     0.042767     0.356665
          53     0.065423     0.042451     0.352001
          54     0.064821     0.042236     0.347703
          55     0.064215     0.042101     0.342865
          56     0.063541     0.041985     0.337246
          57     0.062829     0.041832     0.331476
          58     0.062151     0.041626     0.326349
          59     0.061563     0.041386     0.322275
          60     0.061083     0.041137     0.319285
          61     0.060692     0.040889     0.317139
          62     0.060345     0.040645     0.315394
          63     0.059999     0.040426     0.313499
          64     0.059624     0.040266     0.310934
          65     0.059214     0.040187     0.307514
          66     0.058794     0.040168     0.303589
          67     0.058399     0.040161     0.299792
          68     0.058042     0.040120     0.296581
          69     0.057713     0.040027     0.293993
          70     0.057400     0.039888     0.291865
          71     0.057103     0.039713     0.290139
          72     0.056819     0.039511     0.288735
          73     0.056526     0.039296     0.287319
          74     0.056209     0.039103     0.285524
          75     0.055887     0.038962     0.283312
          76     0.055588     0.038865     0.281023
          77     0.055316     0.038763     0.279040
          78     0.055044     0.038601     0.277468
          79     0.054754     0.038368     0.276215
          80     0.054465     0.038102     0.275192
          81     0.054195     0.037850     0.274266
          82     0.053938     0.037634     0.273219
          83     0.053681     0.037455     0.271913
          84     0.053425     0.037313     0.270370
          85     0.053178     0.037201     0.268704
          86     0.052939     0.037101     0.267022
          87     0.052701     0.036989     0.265446
          88     0.052467     0.036849     0.264092
          89     0.052237     0.036687     0.262939
          90     0.052009     0.036518     0.261852
          91     0.051782     0.036353     0.260756
          92     0.051558     0.036189     0.259673
          93     0.051334     0.036018     0.258638
          94     0.051107     0.035831     0.257687
          95     0.050884     0.035630     0.256867
          96     0.050670     0.035427     0.256159
          97     0.050461     0.035236     0.255417
          98     0.050251     0.035068     0.254497
          99     0.050036     0.034919     0.253398
         100     0.049821     0.034780     0.252231
         101     0.049607     0.034637     0.251112
         102     0.049395     0.034479     0.250108
         103     0.049185     0.034305     0.249234
         104     0.048977     0.034123     0.248436
         105     0.048769     0.033944     0.247615
         106     0.048560     0.033776     0.246700
         107     0.048347     0.033617     0.245695
         108     0.048134     0.033460     0.244672
         109     0.047923     0.033298     0.243699
         110     0.047713     0.033132     0.242778
         111     0.047503     0.032964     0.241853
         112     0.047290     0.032800     0.240887
         113     0.047076     0.032638     0.239888
         114     0.046862     0.032477     0.238880
         115     0.046647     0.032313     0.237891
         116     0.046432     0.032141     0.236946
         117     0.046216     0.031963     0.236035
         118     0.045999     0.031788     0.235097
         119     0.045780     0.031622     0.234080
         120     0.045561     0.031465     0.233001
         121     0.045343     0.031307     0.231929
         122     0.045123     0.031138     0.230927
         123     0.044902     0.030954     0.230004
         124     0.044680     0.030763     0.229124
