             Fingerprints used:
             Type:  BP
             C :  20 G1s
             H :  20 G1s
    0.07s: Processing training data
             Number of training images: 570
    0.74s: Trying to load training fingerprints
             Fingerprints were not found
    0.74s: Calculating training fingerprints
    0.74s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.186387     0.054665     1.260001
           2     0.186081     0.053749     1.259707
           3     0.186142     0.054134     1.259333
           4     0.186080     0.054117     1.258909
           5     0.185925     0.053793     1.258460
           6     0.185797     0.053581     1.257968
           7     0.185726     0.053592     1.257421
           8     0.185666     0.053659     1.256835
           9     0.185575     0.053611     1.256262
          10     0.185461     0.053447     1.255770
          11     0.185356     0.053265     1.255384
          12     0.185276     0.053146     1.255044
          13     0.185204     0.053095     1.254623
          14     0.185113     0.053063     1.254018
          15     0.184988     0.053011     1.253201
          16     0.184835     0.052943     1.252215
          17     0.184671     0.052887     1.251125
          18     0.184509     0.052864     1.249984
          19     0.184350     0.052863     1.248805
          20     0.184180     0.052857     1.247565
          21     0.183987     0.052820     1.246223
          22     0.183767     0.052752     1.244743
          23     0.183522     0.052671     1.243101
          24     0.183255     0.052599     1.241289
          25     0.182970     0.052542     1.239301
          26     0.182662     0.052495     1.237128
          27     0.182326     0.052451     1.234740
          28     0.181955     0.052407     1.232092
          29     0.181543     0.052370     1.229130
          30     0.181086     0.052346     1.225808
          31     0.180580     0.052332     1.222098
          32     0.180018     0.052314     1.217986
          33     0.179396     0.052283     1.213455
          34     0.178707     0.052234     1.208469
          35     0.177945     0.052171     1.202969
          36     0.177101     0.052103     1.196873
          37     0.176164     0.052034     1.190088
          38     0.175122     0.051964     1.182525
          39     0.173964     0.051897     1.174100
          40     0.172673     0.051833     1.164676
          41     0.171209     0.051776     1.153946
          42     0.169509     0.051725     1.141440
          43     0.167510     0.051679     1.126698
          44     0.165169     0.051637     1.109381
          45     0.162464     0.051599     1.089317
          46     0.159412     0.051571     1.066601
          47     0.156069     0.051561     1.041607
          48     0.152500     0.051572     1.014802
          49     0.148744     0.051595     0.986475
          50     0.144806     0.051602     0.956713
          51     0.140705     0.051565     0.925719
          52     0.136521     0.051471     0.894112
          53     0.132390     0.051328     0.862914
          54     0.128468     0.051154     0.833284
          55     0.124890     0.050973     0.806203
          56     0.121726     0.050803     0.782182
          57     0.118956     0.050649     0.761096
          58     0.116493     0.050496     0.742317
          59     0.114215     0.050317     0.725026
          60     0.112003     0.050075     0.708417
          61     0.109757     0.049733     0.691849
          62     0.107417     0.049267     0.674947
          63     0.104960     0.048677     0.657542
          64     0.102390     0.047983     0.639585
          65     0.099742     0.047231     0.621197
          66     0.097084     0.046496     0.602632
          67     0.094498     0.045870     0.584202
          68     0.092061     0.045414     0.566250
          69     0.089817     0.045129     0.549111
          70     0.087785     0.044963     0.533127
          71     0.085989     0.044851     0.518772
          72     0.084465     0.044736     0.506605
          73     0.083220     0.044568     0.496951
          74     0.082200     0.044312     0.489555
          75     0.081302     0.043955     0.483634
          76     0.080428     0.043515     0.478283
          77     0.079519     0.043027     0.472863
          78     0.078567     0.042517     0.467175
          79     0.077609     0.042003     0.461462
