             Fingerprints used:
             Type:  BP
             C :  40 G1s  24 G2s
             H :  40 G1s  24 G2s
    0.08s: Processing training data
             Number of training images: 570
    0.74s: Trying to load training fingerprints
             Fingerprints were not found
    0.74s: Calculating training fingerprints
    0.74s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.186804     0.055921     1.260328
           2     0.185896     0.053870     1.258082
           3     0.185518     0.053736     1.255574
           4     0.185248     0.054295     1.252377
           5     0.184753     0.054448     1.248379
           6     0.184015     0.054129     1.243615
           7     0.183123     0.053610     1.238141
           8     0.182145     0.053107     1.232002
           9     0.181119     0.052712     1.225269
          10     0.180052     0.052430     1.217989
          11     0.178919     0.052226     1.210051
          12     0.177655     0.052060     1.201065
          13     0.176174     0.051910     1.190430
          14     0.174402     0.051777     1.177606
          15     0.172308     0.051675     1.162321
          16     0.169911     0.051623     1.144661
          17     0.167265     0.051629     1.124989
          18     0.164402     0.051686     1.103554
          19     0.161258     0.051764     1.079923
          20     0.157733     0.051817     1.053437
          21     0.153777     0.051805     1.023806
          22     0.149372     0.051699     0.990939
          23     0.144538     0.051484     0.955004
          24     0.139434     0.051158     0.917189
          25     0.134387     0.050733     0.879947
          26     0.129543     0.050247     0.844296
          27     0.124787     0.049803     0.809055
          28     0.120368     0.049554     0.775658
          29     0.116931     0.049600     0.748757
          30     0.114682     0.049845     0.730321
          31     0.112936     0.050030     0.715945
          32     0.111145     0.049982     0.701962
          33     0.109076     0.049727     0.686470
          34     0.106466     0.049379     0.666963
          35     0.103372     0.049025     0.643519
          36     0.100173     0.048705     0.618968
          37     0.097138     0.048410     0.595493
          38     0.094245     0.048099     0.573082
          39     0.091499     0.047726     0.552008
          40     0.089054     0.047274     0.533656
          41     0.086998     0.046784     0.518647
          42     0.085231     0.046325     0.505883
          43     0.083556     0.045950     0.493466
          44     0.081820     0.045674     0.480018
          45     0.079999     0.045486     0.465343
          46     0.078207     0.045373     0.450421
          47     0.076618     0.045327     0.436795
          48     0.075336     0.045333     0.425469
          49     0.074314     0.045360     0.416239
          50     0.073435     0.045366     0.408328
          51     0.072634     0.045319     0.401367
          52     0.071907     0.045201     0.395437
          53     0.071263     0.045020     0.390612
          54     0.070701     0.044799     0.386758
          55     0.070200     0.044569     0.383511
          56     0.069707     0.044353     0.380257
          57     0.069174     0.044165     0.376467
          58     0.068607     0.044007     0.372180
          59     0.068066     0.043878     0.367951
          60     0.067601     0.043773     0.364273
          61     0.067209     0.043680     0.361192
          62     0.066851     0.043583     0.358442
          63     0.066479     0.043462     0.355707
          64     0.066058     0.043302     0.352741
          65     0.065583     0.043100     0.349540
          66     0.065091     0.042866     0.346364
          67     0.064620     0.042624     0.343434
          68     0.064182     0.042402     0.340689
          69     0.063772     0.042222     0.337946
          70     0.063384     0.042089     0.335112
          71     0.063009     0.041992     0.332174
          72     0.062635     0.041908     0.329155
          73     0.062259     0.041819     0.326140
          74     0.061882     0.041715     0.323208
          75     0.061505     0.041593     0.320380
          76     0.061129     0.041450     0.317702
          77     0.060764     0.041285     0.315262
          78     0.060413     0.041102     0.313073
          79     0.060075     0.040913     0.311050
          80     0.059751     0.040735     0.309100
          81     0.059446     0.040583     0.307148
          82     0.059156     0.040463     0.305137
          83     0.058880     0.040370     0.303077
          84     0.058616     0.040291     0.301034
          85     0.058360     0.040213     0.299065
          86     0.058112     0.040129     0.297210
          87     0.057875     0.040039     0.295502
          88     0.057646     0.039940     0.293931
          89     0.057418     0.039828     0.292455
