nohup: ignoring input
             Fingerprints used:
             Type:  BP
             C :  60 G1s  48 G2s
             H :  60 G1s  48 G2s
    0.07s: Processing training data
             Number of training images: 570
    0.74s: Trying to load training fingerprints
             Fingerprints were not found
    0.74s: Calculating training fingerprints
    0.74s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.186553     0.055246     1.259957
           2     0.185945     0.053786     1.258618
           3     0.185724     0.053780     1.257004
           4     0.185535     0.054106     1.254905
           5     0.185155     0.054037     1.252246
           6     0.184604     0.053690     1.248918
           7     0.183932     0.053322     1.244749
           8     0.183146     0.053067     1.239484
           9     0.182201     0.052920     1.232816
          10     0.181040     0.052820     1.224449
          11     0.179613     0.052716     1.214125
          12     0.177885     0.052582     1.201631
          13     0.175834     0.052411     1.186817
          14     0.173454     0.052202     1.169643
          15     0.170761     0.051952     1.150227
          16     0.167792     0.051660     1.128837
          17     0.164584     0.051335     1.105730
          18     0.161155     0.050992     1.080987
          19     0.157511     0.050648     1.054619
          20     0.153691     0.050309     1.026885
          21     0.149753     0.049959     0.998250
          22     0.145674     0.049562     0.968625
          23     0.141374     0.049137     0.937344
          24     0.136846     0.048760     0.904140
          25     0.132097     0.048485     0.868872
          26     0.127100     0.048306     0.831295
          27     0.121882     0.048141     0.791755
          28     0.116541     0.047915     0.751199
          29     0.111321     0.047619     0.711503
          30     0.106428     0.047283     0.674215
          31     0.102096     0.046944     0.641088
          32     0.098529     0.046630     0.613743
          33     0.095726     0.046364     0.592195
          34     0.093508     0.046172     0.574974
          35     0.091557     0.046025     0.559660
          36     0.089456     0.045914     0.542877
          37     0.087016     0.045887     0.522787
          38     0.084320     0.045979     0.499792
          39     0.081668     0.046221     0.476093
          40     0.079338     0.046546     0.454310
          41     0.077380     0.046868     0.435378
          42     0.075697     0.047299     0.417899
          43     0.074182     0.047768     0.401322
          44     0.072832     0.048285     0.385554
          45     0.071638     0.048716     0.371396
          46     0.070525     0.048799     0.360031
          47     0.069450     0.048610     0.350742
          48     0.068383     0.048304     0.342267
          49     0.067278     0.047990     0.333412
          50     0.066149     0.047806     0.323288
          51     0.065107     0.047678     0.313504
          52     0.064295     0.047625     0.305431
          53     0.063764     0.047601     0.300002
          54     0.063414     0.047551     0.296671
          55     0.063066     0.047502     0.293333
          56     0.062584     0.047341     0.289448
          57     0.061968     0.047247     0.283523
          58     0.061311     0.047018     0.278248
          59     0.060737     0.046984     0.272169
          60     0.060268     0.046757     0.268891
          61     0.059834     0.046726     0.264273
          62     0.059382     0.046547     0.260728
          63     0.058946     0.046432     0.256773
          64     0.058554     0.046397     0.252578
          65     0.058200     0.046234     0.249967
          66     0.057872     0.046279     0.245703
          67     0.057581     0.046193     0.243080
          68     0.057316     0.046125     0.240582
          69     0.057031     0.046140     0.237035
          70     0.056711     0.045974     0.234786
          71     0.056410     0.045929     0.231583
          72     0.056185     0.045818     0.229938
          73     0.056026     0.045665     0.229529
          74     0.055883     0.045599     0.228436
          75     0.055720     0.045385     0.228574
          76     0.055540     0.045273     0.227491
          77     0.055371     0.045074     0.227406
          78     0.055232     0.044911     0.227332
          79     0.055116     0.044781     0.227204
          80     0.055003     0.044587     0.227740
          81     0.054878     0.044518     0.226906
          82     0.054742     0.044333     0.227073
          83     0.054604     0.044324     0.225500
          84     0.054472     0.044190     0.225209
          85     0.054344     0.044211     0.223464
          86     0.054218     0.044120     0.222827
          87     0.054092     0.044106     0.221430
          88     0.053969     0.044031     0.220671
          89     0.053852     0.043956     0.219997
          90     0.053746     0.043890     0.219344
          91     0.053650     0.043756     0.219520
          92     0.053566     0.043708     0.218968
          93     0.053494     0.043531     0.219855
          94     0.053442     0.043544     0.219089
          95     0.053406     0.043336     0.220707
          96     0.053364     0.043419     0.219377
          97     0.053237     0.043207     0.219919
          98     0.053033     0.043252     0.216995
          99     0.052866     0.043139     0.216078
         100     0.052811     0.043038     0.216424
         101     0.052795     0.043047     0.216127
         102     0.052705     0.042848     0.217008
         103     0.052544     0.042847     0.215057
         104     0.052413     0.042726     0.214666
         105     0.052360     0.042609     0.215177
         106     0.052320     0.042599     0.214798
         107     0.052222     0.042439     0.215183
         108     0.052085     0.042420     0.213708
         109     0.051977     0.042319     0.213395
         110     0.051918     0.042211     0.213745
         111     0.051863     0.042186     0.213324
