nohup: ignoring input
             Fingerprints used:
             Type:  BP
             C :  20 G1s
             H :  20 G1s
    0.33s: Processing training data
             Number of training images: 570
    0.97s: Trying to load training fingerprints
             Fingerprints were not found
    0.97s: Calculating training fingerprints
    0.97s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.186221     0.053767     1.260704
           2     0.185677     0.053852     1.256501
           3     0.185080     0.053739     1.252329
           4     0.184375     0.053726     1.247154
           5     0.183453     0.053726     1.240333
           6     0.182239     0.053708     1.231392
           7     0.180676     0.053679     1.219884
           8     0.178710     0.053647     1.205389
           9     0.176297     0.053614     1.187566
          10     0.173407     0.053580     1.166170
          11     0.170024     0.053547     1.141075
          12     0.166161     0.053521     1.112320
          13     0.161864     0.053517     1.080185
          14     0.157222     0.053551     1.045255
          15     0.152380     0.053645     1.008513
          16     0.147550     0.053827     0.971433
          17     0.142997     0.054110     0.935954
          18     0.138995     0.054459     0.904265
          19     0.135738     0.054755     0.878257
          20     0.133217     0.054820     0.858532
          21     0.131131     0.054535     0.843246
          22     0.128912     0.053951     0.827877
          23     0.126033     0.053298     0.807578
          24     0.122338     0.052852     0.780168
          25     0.118037     0.052764     0.746616
          26     0.113541     0.052958     0.710179
          27     0.109326     0.053175     0.675447
          28     0.105854     0.053114     0.647453
          29     0.103579     0.052601     0.630942
          30     0.102906     0.051663     0.629308
          31     0.103838     0.050498     0.641574
          32     0.105540     0.049397     0.659490
          33     0.106857     0.048643     0.672764
          34     0.107246     0.048388     0.676767
          35     0.106750     0.048577     0.672152
          36     0.105622     0.048997     0.661641
          37     0.104137     0.049407     0.648212
          38     0.102534     0.049640     0.634393
          39     0.101016     0.049653     0.622044
          40     0.099757     0.049513     0.612365
          41     0.098888     0.049364     0.605885
          42     0.098463     0.049362     0.602423
          43     0.098430     0.049599     0.601186
          44     0.098646     0.050053     0.601071
          45     0.098918     0.050592     0.601052
          46     0.099071     0.051033     0.600446
          47     0.098999     0.051234     0.598993
          48     0.098683     0.051143     0.596772
          49     0.098179     0.050807     0.594045
          50     0.097583     0.050340     0.591115
          51     0.096997     0.049874     0.588260
          52     0.096503     0.049512     0.585718
          53     0.096147     0.049294     0.583707
          54     0.095939     0.049198     0.582405
          55     0.095857     0.049160     0.581883
          56     0.095854     0.049122     0.582022
          57     0.095877     0.049052     0.582503
          58     0.095878     0.048958     0.582906
          59     0.095828     0.048870     0.582868
          60     0.095722     0.048821     0.582201
          61     0.095566     0.048825     0.580908
          62     0.095378     0.048875     0.579141
          63     0.095175     0.048953     0.577145
          64     0.094983     0.049036     0.575207
          65     0.094824     0.049109     0.573580
          66     0.094713     0.049171     0.572397
          67     0.094646     0.049223     0.571620
          68     0.094605     0.049268     0.571085
          69     0.094565     0.049304     0.570593
          70     0.094506     0.049329     0.569999
          71     0.094418     0.049337     0.569240
          72     0.094302     0.049326     0.568327
          73     0.094167     0.049298     0.567323
          74     0.094026     0.049258     0.566324
          75     0.093893     0.049211     0.565428
          76     0.093778     0.049163     0.564685
          77     0.093681     0.049117     0.564078
          78     0.093594     0.049075     0.563536
          79     0.093510     0.049042     0.562978
          80     0.093423     0.049020     0.562351
          81     0.093330     0.049011     0.561622
          82     0.093231     0.049016     0.560777
          83     0.093124     0.049031     0.559827
          84     0.093014     0.049054     0.558806
          85     0.092903     0.049083     0.557753
          86     0.092792     0.049115     0.556695
          87     0.092684     0.049148     0.555645
          88     0.092580     0.049183     0.554621
          89     0.092479     0.049215     0.553639
          90     0.092381     0.049241     0.552702
          91     0.092282     0.049258     0.551797
          92     0.092180     0.049265     0.550912
          93     0.092074     0.049262     0.550035
          94     0.091964     0.049254     0.549158
          95     0.091854     0.049244     0.548275
          96     0.091744     0.049237     0.547387
          97     0.091636     0.049233     0.546505
          98     0.091531     0.049231     0.545629
          99     0.091428     0.049233     0.544753
         100     0.091324     0.049237     0.543864
         101     0.091220     0.049246     0.542952
         102     0.091116     0.049261     0.542007
         103     0.091011     0.049283     0.541027
         104     0.090906     0.049308     0.540025
         105     0.090801     0.049336     0.539018
         106     0.090698     0.049363     0.538021
         107     0.090595     0.049388     0.537042
         108     0.090495     0.049412     0.536085
         109     0.090396     0.049434     0.535145
         110     0.090298     0.049456     0.534216
         111     0.090200     0.049478     0.533295
         112     0.090104     0.049497     0.532385
         113     0.090007     0.049515     0.531489
         114     0.089912     0.049531     0.530606
         115     0.089819     0.049549     0.529735
         116     0.089728     0.049568     0.528871
         117     0.089639     0.049591     0.528010
         118     0.089552     0.049616     0.527154
         119     0.089467     0.049642     0.526306
         120     0.089383     0.049670     0.525466
         121     0.089302     0.049699     0.524634
         122     0.089222     0.049730     0.523811
         123     0.089145     0.049762     0.522997
         124     0.089070     0.049795     0.522201
         125     0.088998     0.049829     0.521427
         126     0.088928     0.049861     0.520676
         127     0.088861     0.049894     0.519945
         128     0.088796     0.049927     0.519230
         129     0.088733     0.049961     0.518530
         130     0.088673     0.049996     0.517849
         131     0.088615     0.050029     0.517192
         132     0.088560     0.050062     0.516559
         133     0.088507     0.050094     0.515948
         134     0.088456     0.050127     0.515356
         135     0.088408     0.050160     0.514785
         136     0.088363     0.050192     0.514235
         137     0.088319     0.050224     0.513704
         138     0.088277     0.050256     0.513186
         139     0.088238     0.050291     0.512677
         140     0.088200     0.050326     0.512181
         141     0.088165     0.050361     0.511701
         142     0.088131     0.050395     0.511241
         143     0.088098     0.050428     0.510799
         144     0.088067     0.050460     0.510375
         145     0.088038     0.050490     0.509972
         146     0.088009     0.050517     0.509591
         147     0.087982     0.050542     0.509229
         148     0.087955     0.050567     0.508879
         149     0.087930     0.050591     0.508536
         150     0.087905     0.050614     0.508202
         151     0.087880     0.050637     0.507877
         152     0.087856     0.050660     0.507556
         153     0.087833     0.050682     0.507240
         154     0.087809     0.050703     0.506932
         155     0.087786     0.050723     0.506634
         156     0.087763     0.050740     0.506345
         157     0.087739     0.050757     0.506061
         158     0.087716     0.050772     0.505781
         159     0.087693     0.050787     0.505505
         160     0.087669     0.050800     0.505234
         161     0.087645     0.050812     0.504963
         162     0.087621     0.050824     0.504694
         163     0.087596     0.050835     0.504429
         164     0.087572     0.050844     0.504169
         165     0.087547     0.050852     0.503911
         166     0.087522     0.050860     0.503654
         167     0.087496     0.050867     0.503397
         168     0.087471     0.050873     0.503141
         169     0.087445     0.050880     0.502883
         170     0.087419     0.050887     0.502624
         171     0.087393     0.050893     0.502366
         172     0.087367     0.050898     0.502110
         173     0.087340     0.050903     0.501856
         174     0.087314     0.050908     0.501602
         175     0.087288     0.050912     0.501351
         176     0.087261     0.050917     0.501101
         177     0.087235     0.050921     0.500851
         178     0.087209     0.050925     0.500600
         179     0.087183     0.050930     0.500351
         180     0.087157     0.050934     0.500103
         181     0.087132     0.050939     0.499855
         182     0.087106     0.050944     0.499608
         183     0.087081     0.050949     0.499362
         184     0.087056     0.050955     0.499117
         185     0.087031     0.050961     0.498871
         186     0.087007     0.050967     0.498626
         187     0.086983     0.050973     0.498382
         188     0.086959     0.050980     0.498138
         189     0.086935     0.050987     0.497896
         190     0.086912     0.050995     0.497655
         191     0.086889     0.051002     0.497416
         192     0.086866     0.051010     0.497177
         193     0.086844     0.051019     0.496937
         194     0.086822     0.051028     0.496698
         195     0.086800     0.051037     0.496458
         196     0.086778     0.051047     0.496218
         197     0.086757     0.051057     0.495979
         198     0.086735     0.051067     0.495741
         199     0.086715     0.051078     0.495504
         200     0.086694     0.051088     0.495267
         201     0.086673     0.051099     0.495030
         202     0.086653     0.051110     0.494794
         203     0.086633     0.051122     0.494558
         204     0.086612     0.051134     0.494322
         205     0.086592     0.051145     0.494087
         206     0.086573     0.051157     0.493852
         207     0.086553     0.051169     0.493618
         208     0.086533     0.051180     0.493386
         209     0.086514     0.051192     0.493154
         210     0.086495     0.051204     0.492923
         211     0.086475     0.051216     0.492694
         212     0.086456     0.051227     0.492466
         213     0.086437     0.051239     0.492240
         214     0.086418     0.051250     0.492017
         215     0.086400     0.051261     0.491795
         216     0.086381     0.051272     0.491576
         217     0.086363     0.051282     0.491359
         218     0.086345     0.051292     0.491145
         219     0.086326     0.051302     0.490933
         220     0.086308     0.051312     0.490724
         221     0.086291     0.051322     0.490518
         222     0.086273     0.051331     0.490315
         223     0.086255     0.051339     0.490115
         224     0.086238     0.051348     0.489918
         225     0.086221     0.051356     0.489724
         226     0.086204     0.051364     0.489533
         227     0.086187     0.051372     0.489346
         228     0.086171     0.051379     0.489161
         229     0.086154     0.051386     0.488980
         230     0.086138     0.051393     0.488801
         231     0.086122     0.051399     0.488626
         232     0.086106     0.051406     0.488453
         233     0.086090     0.051412     0.488283
         234     0.086075     0.051418     0.488116
         235     0.086060     0.051423     0.487951
         236     0.086045     0.051429     0.487789
         237     0.086030     0.051434     0.487630
         238     0.086015     0.051440     0.487473
         239     0.086001     0.051445     0.487318
         240     0.085987     0.051451     0.487165
         241     0.085973     0.051456     0.487015
         242     0.085959     0.051461     0.486867
         243     0.085946     0.051466     0.486720
         244     0.085933     0.051471     0.486576
         245     0.085919     0.051476     0.486433
         246     0.085907     0.051481     0.486292
         247     0.085894     0.051487     0.486152
         248     0.085881     0.051492     0.486015
         249     0.085869     0.051497     0.485878
         250     0.085857     0.051502     0.485744
         251     0.085845     0.051508     0.485611
         252     0.085833     0.051513     0.485479
         253     0.085822     0.051518     0.485349
         254     0.085810     0.051523     0.485220
         255     0.085799     0.051529     0.485092
         256     0.085788     0.051534     0.484966
         257     0.085777     0.051539     0.484842
         258     0.085766     0.051545     0.484718
         259     0.085756     0.051550     0.484596
         260     0.085745     0.051555     0.484476
         261     0.085735     0.051560     0.484357
         262     0.085725     0.051566     0.484239
         263     0.085715     0.051571     0.484122
         264     0.085705     0.051576     0.484007
         265     0.085695     0.051581     0.483894
         266     0.085685     0.051586     0.483782
         267     0.085676     0.051591     0.483671
         268     0.085666     0.051595     0.483561
         269     0.085657     0.051600     0.483453
         270     0.085648     0.051604     0.483347
         271     0.085638     0.051609     0.483241
         272     0.085629     0.051613     0.483137
         273     0.085620     0.051617     0.483035
         274     0.085611     0.051621     0.482933
         275     0.085602     0.051625     0.482833
         276     0.085593     0.051629     0.482735
         277     0.085585     0.051633     0.482637
         278     0.085576     0.051637     0.482541
         279     0.085567     0.051640     0.482445
         280     0.085559     0.051644     0.482351
         281     0.085550     0.051647     0.482258
         282     0.085542     0.051650     0.482166
         283     0.085533     0.051653     0.482074
         284     0.085525     0.051656     0.481984
         285     0.085517     0.051659     0.481895
         286     0.085509     0.051662     0.481806
         287     0.085500     0.051665     0.481718
         288     0.085492     0.051668     0.481631
         289     0.085484     0.051670     0.481545
         290     0.085476     0.051673     0.481460
         291     0.085468     0.051676     0.481375
         292     0.085460     0.051678     0.481291
         293     0.085452     0.051681     0.481207
         294     0.085444     0.051683     0.481124
         295     0.085437     0.051685     0.481042
         296     0.085429     0.051688     0.480960
         297     0.085421     0.051690     0.480880
         298     0.085413     0.051692     0.480799
         299     0.085406     0.051694     0.480719
         300     0.085398     0.051697     0.480639
         301     0.085391     0.051699     0.480562
         302     0.085383     0.051701     0.480482
         303     0.085375     0.051703     0.480407
         304     0.085368     0.051705     0.480326
         305     0.085361     0.051706     0.480255
         306     0.085353     0.051710     0.480169
