nohup: ignoring input
             Fingerprints used:
             Type:  BP
             C :  40 G1s  24 G2s
             H :  40 G1s  24 G2s
    0.08s: Processing training data
             Number of training images: 570
    0.73s: Calculating training fingerprints
    0.73s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.187516     0.057756     1.261477
           2     0.186171     0.054716     1.258288
           3     0.185351     0.053648     1.254528
           4     0.184776     0.053811     1.249931
           5     0.184108     0.054189     1.244171
           6     0.183137     0.054221     1.236916
           7     0.181825     0.053901     1.227904
           8     0.180193     0.053438     1.216841
           9     0.178247     0.053020     1.203350
          10     0.175956     0.052742     1.186987
          11     0.173259     0.052614     1.167273
          12     0.170085     0.052594     1.143740
          13     0.166364     0.052624     1.115969
          14     0.162034     0.052651     1.083578
          15     0.157050     0.052637     1.046278
          16     0.151424     0.052571     1.004128
          17     0.145271     0.052480     0.957852
          18     0.138759     0.052403     0.908512
          19     0.131870     0.052311     0.855956
          20     0.124446     0.052141     0.799007
          21     0.116856     0.051871     0.740434
          22     0.109815     0.051472     0.685932
          23     0.103293     0.050868     0.635687
          24     0.097457     0.049991     0.591553
          25     0.093215     0.048859     0.561329
          26     0.090705     0.047630     0.545835
          27     0.089456     0.046585     0.540006
          28     0.089113     0.045924     0.540010
          29     0.088727     0.045734     0.537630
          30     0.087571     0.045954     0.527111
          31     0.085780     0.046380     0.510248
          32     0.083287     0.046718     0.487548
          33     0.080565     0.046781     0.463800
          34     0.078337     0.046556     0.445491
          35     0.076542     0.046149     0.431794
          36     0.075038     0.045753     0.420558
          37     0.073695     0.045566     0.409552
          38     0.072299     0.045670     0.396317
          39     0.070847     0.045955     0.381272
          40     0.069323     0.046199     0.365470
          41     0.067692     0.046248     0.349522
          42     0.066134     0.046116     0.335192
          43     0.064822     0.045933     0.323425
          44     0.063790     0.045825     0.313791
          45     0.063095     0.045846     0.306518
          46     0.062627     0.045976     0.300697
          47     0.062179     0.046142     0.294711
          48     0.061677     0.046265     0.288402
          49     0.061072     0.046309     0.281538
          50     0.060412     0.046309     0.274325
          51     0.059827     0.046334     0.267623
          52     0.059363     0.046413     0.261703
          53     0.059045     0.046525     0.257067
          54     0.058840     0.046630     0.253749
          55     0.058643     0.046690     0.250902
          56     0.058409     0.046687     0.248184
          57     0.058118     0.046630     0.245292
          58     0.057770     0.046548     0.241928
          59     0.057413     0.046466     0.238451
          60     0.057077     0.046383     0.235193
          61     0.056776     0.046286     0.232497
          62     0.056520     0.046166     0.230561
          63     0.056281     0.046028     0.229021
          64     0.056050     0.045884     0.227633
          65     0.055816     0.045753     0.226066
          66     0.055573     0.045649     0.224107
          67     0.055342     0.045570     0.222048
          68     0.055130     0.045498     0.220148
          69     0.054949     0.045423     0.218649
          70     0.054790     0.045344     0.217472
          71     0.054639     0.045262     0.216417
          72     0.054487     0.045175     0.215415
          73     0.054324     0.045083     0.214320
          74     0.054154     0.044984     0.213204
          75     0.053983     0.044875     0.212180
          76     0.053815     0.044750     0.211364
          77     0.053653     0.044607     0.210824
          78     0.053493     0.044449     0.210443
          79     0.053331     0.044287     0.210106
          80     0.053166     0.044132     0.209638
          81     0.052999     0.043989     0.209033
          82     0.052836     0.043853     0.208388
          83     0.052679     0.043721     0.207791
          84     0.052530     0.043591     0.207269
          85     0.052386     0.043464     0.206777
          86     0.052246     0.043339     0.206323
          87     0.052107     0.043214     0.205876
          88     0.051968     0.043089     0.205430
          89     0.051828     0.042963     0.204976
