nohup: ignoring input
             Fingerprints used:
             Type:  BP
             H :  40 G1s  24 G2s
             C :  40 G1s  24 G2s
    0.07s: Processing training data
             Number of training images: 570
    0.72s: Trying to load training fingerprints
             Fingerprints were not found
    0.73s: Calculating training fingerprints
    0.73s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.187122     0.057422     1.259312
           2     0.185892     0.054728     1.256194
           3     0.185127     0.053700     1.252764
           4     0.184548     0.053765     1.248344
           5     0.183840     0.054106     1.242370
           6     0.182804     0.054217     1.234460
           7     0.181389     0.054028     1.224394
           8     0.179616     0.053657     1.212082
           9     0.177527     0.053251     1.197499
          10     0.175157     0.052929     1.180646
          11     0.172525     0.052754     1.161508
          12     0.169622     0.052731     1.139979
          13     0.166384     0.052817     1.115659
          14     0.162664     0.052939     1.087588
          15     0.158238     0.053012     1.054256
          16     0.152856     0.052962     1.013903
          17     0.146311     0.052749     0.965000
          18     0.138531     0.052372     0.906862
          19     0.129708     0.051885     0.840598
          20     0.120387     0.051391     0.769808
          21     0.111175     0.050976     0.698615
          22     0.101934     0.050583     0.625777
          23     0.091941     0.050073     0.545244
          24     0.081965     0.049440     0.462279
          25     0.074925     0.048833     0.401817
          26     0.072428     0.048391     0.381056
          27     0.072156     0.048037     0.380718
          28     0.073605     0.047657     0.396647
          29     0.077636     0.047358     0.435001
          30     0.080841     0.047331     0.463410
          31     0.081142     0.047564     0.464846
          32     0.080375     0.047849     0.456652
          33     0.078868     0.047909     0.442996
          34     0.075699     0.047644     0.415958
          35     0.071898     0.047158     0.383765
          36     0.068763     0.046625     0.357385
          37     0.066191     0.046228     0.334983
          38     0.064032     0.046113     0.314146
          39     0.062788     0.046307     0.299833
          40     0.062658     0.046672     0.295614
          41     0.063069     0.046990     0.297457
          42     0.063363     0.047108     0.299642
          43     0.063382     0.047000     0.300682
          44     0.063227     0.046746     0.301037
          45     0.062861     0.046455     0.299458
          46     0.062168     0.046211     0.294054
          47     0.061235     0.046047     0.285431
          48     0.060329     0.045943     0.276481
          49     0.059584     0.045855     0.269028
          50     0.058927     0.045748     0.262639
          51     0.058366     0.045615     0.257479
          52     0.058071     0.045470     0.255420
          53     0.058073     0.045324     0.256739
          54     0.058156     0.045179     0.258940
          55     0.058158     0.045042     0.260150
          56     0.058080     0.044930     0.260255
          57     0.057888     0.044859     0.258719
          58     0.057528     0.044831     0.254926
          59     0.057111     0.044833     0.250169
          60     0.056788     0.044847     0.246339
          61     0.056556     0.044852     0.243612
          62     0.056350     0.044836     0.241354
          63     0.056181     0.044799     0.239730
          64     0.056077     0.044747     0.238992
          65     0.055999     0.044694     0.238570
          66     0.055905     0.044650     0.237886
          67     0.055808     0.044618     0.237040
          68     0.055711     0.044592     0.236138
          69     0.055580     0.044559     0.234906
          70     0.055406     0.044507     0.233341
          71     0.055226     0.044438     0.231859
          72     0.055056     0.044361     0.230575
          73     0.054887     0.044283     0.229296
          74     0.054728     0.044204     0.228163
          75     0.054597     0.044115     0.227456
          76     0.054482     0.044016     0.227027
          77     0.054369     0.043921     0.226589
          78     0.054267     0.043844     0.226115
          79     0.054171     0.043786     0.225537
          80     0.054057     0.043735     0.224661
          81     0.053921     0.043685     0.223512
          82     0.053780     0.043638     0.222257
          83     0.053639     0.043600     0.220924
          84     0.053501     0.043567     0.219570
          85     0.053376     0.043532     0.218397
          86     0.053262     0.043485     0.217474
          87     0.053146     0.043420     0.216704
          88     0.053027     0.043338     0.216067
          89     0.052906     0.043240     0.215565
          90     0.052779     0.043133     0.215080
          91     0.052644     0.043024     0.214513
          92     0.052505     0.042918     0.213874
          93     0.052366     0.042818     0.213171
          94     0.052226     0.042720     0.212436
          95     0.052093     0.042624     0.211757
          96     0.051964     0.042528     0.211151
          97     0.051835     0.042429     0.210552
          98     0.051702     0.042328     0.209934
          99     0.051567     0.042227     0.209288
         100     0.051427     0.042126     0.208578
         101     0.051284     0.042027     0.207812
         102     0.051142     0.041931     0.207036
         103     0.051002     0.041836     0.206272
         104     0.050866     0.041741     0.205550
         105     0.050733     0.041643     0.204901
         106     0.050601     0.041540     0.204308
         107     0.050466     0.041432     0.203741
         108     0.050329     0.041319     0.203194
         109     0.050192     0.041205     0.202659
         110     0.050057     0.041089     0.202154
         111     0.049923     0.040970     0.201717
         112     0.049790     0.040843     0.201353
         113     0.049655     0.040711     0.201030
         114     0.049520     0.040579     0.200698
         115     0.049384     0.040450     0.200322
         116     0.049248     0.040324     0.199913
         117     0.049111     0.040196     0.199515
         118     0.048973     0.040065     0.199149
         119     0.048836     0.039931     0.198812
         120     0.048701     0.039799     0.198473
         121     0.048566     0.039671     0.198102
         122     0.048431     0.039544     0.197719
         123     0.048296     0.039413     0.197376
         124     0.048161     0.039274     0.197106
         125     0.048026     0.039129     0.196906
         126     0.047892     0.038982     0.196734
         127     0.047758     0.038835     0.196554
         128     0.047624     0.038690     0.196361
         129     0.047490     0.038545     0.196159
         130     0.047356     0.038402     0.195940
         131     0.047221     0.038261     0.195687
         132     0.047085     0.038123     0.195407
         133     0.046951     0.037984     0.195136
         134     0.046816     0.037843     0.194893
         135     0.046682     0.037700     0.194672
         136     0.046548     0.037555     0.194465
         137     0.046413     0.037407     0.194286
         138     0.046279     0.037253     0.194159
         139     0.046145     0.037096     0.194070
         140     0.046012     0.036940     0.193975
         141     0.045879     0.036788     0.193840
         142     0.045746     0.036640     0.193681
         143     0.045614     0.036492     0.193516
         144     0.045482     0.036347     0.193337
         145     0.045351     0.036204     0.193134
         146     0.045221     0.036062     0.192932
         147     0.045091     0.035918     0.192759
         148     0.044962     0.035771     0.192608
         149     0.044833     0.035625     0.192461
         150     0.044705     0.035478     0.192326
         151     0.044577     0.035331     0.192206
