             Fingerprints used:
             Type:  BP
             Pt:  30 G1s  12 G2s
    0.07s: Processing training data
             Number of training images: 500
    0.84s: Trying to load training fingerprints
             Fingerprints were not found
    0.84s: Calculating training fingerprints
    0.84s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.052273     0.015708     0.352546
           2     0.050371     0.007869     0.351801
           3     0.049769     0.003508     0.351043
           4     0.050005     0.006905     0.350201
           5     0.050278     0.009349     0.349316
           6     0.050198     0.009572     0.348441
           7     0.049851     0.008301     0.347578
           8     0.049432     0.006281     0.346707
           9     0.049089     0.004295     0.345782
          10     0.048876     0.003458     0.344738
          11     0.048755     0.004167     0.343489
          12     0.048638     0.005191     0.341961
          13     0.048442     0.005764     0.340103
          14     0.048126     0.005716     0.337895
          15     0.047699     0.005132     0.335328
          16     0.047202     0.004260     0.332409
          17     0.046684     0.003539     0.329156
          18     0.046181     0.003509     0.325608
          19     0.045706     0.004191     0.321831
          20     0.045247     0.005055     0.317942
          21     0.044784     0.005678     0.314113
          22     0.044310     0.005874     0.310552
          23     0.043841     0.005644     0.307425
          24     0.043404     0.005127     0.304766
          25     0.043011     0.004541     0.302433
          26     0.042645     0.004075     0.300166
          27     0.042274     0.003796     0.297713
          28     0.041872     0.003661     0.294946
          29     0.041442     0.003597     0.291935
          30     0.041015     0.003559     0.288926
          31     0.040627     0.003525     0.286195
          32     0.040295     0.003477     0.283864
          33     0.040003     0.003410     0.281832
          34     0.039722     0.003331     0.279888
          35     0.039431     0.003259     0.277863
          36     0.039121     0.003209     0.275696
          37     0.038800     0.003185     0.273434
          38     0.038483     0.003176     0.271188
          39     0.038186     0.003167     0.269085
          40     0.037918     0.003142     0.267202
          41     0.037677     0.003096     0.265513
          42     0.037446     0.003046     0.263903
          43     0.037210     0.003023     0.262244
          44     0.036961     0.003038     0.260473
          45     0.036698     0.003055     0.258591
          46     0.036415     0.003015     0.256608
          47     0.036109     0.002905     0.254500
          48     0.035778     0.002793     0.252215
          49     0.035422     0.002786     0.249695
          50     0.035036     0.002905     0.246890
          51     0.034609     0.003049     0.243770
          52     0.034127     0.003091     0.240324
          53     0.033586     0.002982     0.236551
          54     0.032990     0.002773     0.232451
          55     0.032348     0.002572     0.228010
          56     0.031660     0.002448     0.223203
          57     0.030927     0.002395     0.218033
          58     0.030156     0.002403     0.212559
          59     0.029358     0.002443     0.206869
          60     0.028531     0.002419     0.201019
          61     0.027675     0.002282     0.195028
          62     0.026810     0.002141     0.188968
          63     0.025962     0.002086     0.182984
          64     0.025144     0.002045     0.177209
          65     0.024380     0.002041     0.171790
          66     0.023697     0.002095     0.166905
          67     0.023082     0.002023     0.162586
          68     0.022519     0.001872     0.158679
          69     0.021982     0.001822     0.154900
          70     0.021426     0.001766     0.150992
          71     0.020859     0.001731     0.146989
          72     0.020319     0.001719     0.143166
          73     0.019874     0.001652     0.140043
          74     0.019533     0.001594     0.137661
          75     0.019192     0.001543     0.135269
          76     0.018776     0.001498     0.132343
          77     0.018328     0.001466     0.129184
          78     0.017948     0.001395     0.126526
          79     0.017670     0.001352     0.124582
          80     0.017421     0.001333     0.122825
          81     0.017111     0.001259     0.120664
          82     0.016750     0.001252     0.118106
          83     0.016400     0.001287     0.115605
          84     0.016068     0.001348     0.113219
          85     0.015716     0.001277     0.110758
          86     0.015320     0.001092     0.108055
          87     0.014911     0.001030     0.105183
          88     0.014534     0.000994     0.102528
          89     0.014206     0.000955     0.100227
          90     0.013900     0.000934     0.098068
          91     0.013591     0.000912     0.095884
