nohup: ignoring input
             Fingerprints used:
             Type:  BP
             Pt:  10 G1s
    0.07s: Processing training data
             Number of training images: 500
    0.83s: Trying to load training fingerprints
             Fingerprints were not found
    0.84s: Calculating training fingerprints
    0.84s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.050045     0.005140     0.351999
           2     0.050085     0.005618     0.351920
           3     0.049970     0.004751     0.351741
           4     0.049840     0.003478     0.351561
           5     0.049885     0.004387     0.351371
           6     0.049882     0.004679     0.351163
           7     0.049786     0.003948     0.350934
           8     0.049715     0.003478     0.350675
           9     0.049705     0.003914     0.350374
          10     0.049684     0.004251     0.350030
          11     0.049608     0.003988     0.349645
          12     0.049514     0.003551     0.349217
          13     0.049444     0.003536     0.348729
          14     0.049386     0.003820     0.348163
          15     0.049299     0.003895     0.347509
          16     0.049177     0.003677     0.346762
          17     0.049043     0.003482     0.345914
          18     0.048914     0.003565     0.344955
          19     0.048777     0.003747     0.343883
          20     0.048610     0.003752     0.342699
          21     0.048415     0.003589     0.341402
          22     0.048207     0.003483     0.339985
          23     0.047995     0.003557     0.338445
          24     0.047770     0.003668     0.336791
          25     0.047524     0.003652     0.335052
          26     0.047264     0.003552     0.333262
          27     0.047007     0.003522     0.331455
          28     0.046760     0.003584     0.329670
          29     0.046519     0.003619     0.327942
          30     0.046285     0.003585     0.326299
          31     0.046066     0.003585     0.324749
          32     0.045867     0.003677     0.323288
          33     0.045676     0.003746     0.321892
          34     0.045477     0.003693     0.320507
          35     0.045264     0.003600     0.319048
          36     0.045031     0.003562     0.317422
          37     0.044769     0.003532     0.315579
          38     0.044475     0.003480     0.313523
          39     0.044160     0.003450     0.311306
          40     0.043831     0.003412     0.308990
          41     0.043488     0.003311     0.306611
          42     0.043137     0.003217     0.304178
          43     0.042784     0.003181     0.301693
          44     0.042422     0.003116     0.299158
          45     0.042047     0.002996     0.296561
          46     0.041660     0.002895     0.293871
          47     0.041257     0.002814     0.291049
          48     0.040832     0.002736     0.288076
          49     0.040388     0.002684     0.284952
          50     0.039921     0.002604     0.281685
          51     0.039434     0.002504     0.278279
          52     0.038933     0.002455     0.274753
          53     0.038423     0.002393     0.271162
          54     0.037912     0.002328     0.267576
          55     0.037413     0.002286     0.264054
          56     0.036930     0.002273     0.260638
          57     0.036467     0.002279     0.257355
          58     0.036015     0.002209     0.254185
          59     0.035568     0.002167     0.251035
          60     0.035116     0.002179     0.247828
          61     0.034660     0.002186     0.244595
          62     0.034203     0.002087     0.241400
          63     0.033749     0.002062     0.238196
          64     0.033293     0.002125     0.234936
          65     0.032820     0.002045     0.231621
          66     0.032328     0.001998     0.228159
          67     0.031825     0.002054     0.224566
          68     0.031319     0.001982     0.221012
          69     0.030815     0.001942     0.217461
          70     0.030308     0.001959     0.213859
          71     0.029795     0.001882     0.210265
          72     0.029291     0.001847     0.206704
          73     0.028805     0.001827     0.203273
          74     0.028339     0.001780     0.199991
          75     0.027886     0.001765     0.196792
          76     0.027448     0.001749     0.193695
          77     0.027033     0.001748     0.190755
          78     0.026645     0.001741     0.188008
          79     0.026279     0.001770     0.185400
          80     0.025933     0.001732     0.182965
          81     0.025614     0.001771     0.180683
          82     0.025326     0.001727     0.178665
          83     0.025066     0.001790     0.176790
          84     0.024831     0.001754     0.175141
          85     0.024626     0.001907     0.173608
          86     0.024456     0.001889     0.172415
          87     0.024322     0.002381     0.171158
          88     0.024224     0.002541     0.170345
          89     0.024113     0.002906     0.169260
          90     0.023937     0.002195     0.168548
          91     0.023774     0.001826     0.167612
          92     0.023683     0.002407     0.166594
          93     0.023554     0.002373     0.165708
          94     0.023343     0.002019     0.164444
          95     0.023161     0.002007     0.163158
          96     0.022992     0.002224     0.161817
          97     0.022743     0.002094     0.160131
          98     0.022476     0.001825     0.158404
          99     0.022232     0.002014     0.156561
         100     0.021934     0.002088     0.154389
         101     0.021600     0.001745     0.152236
         102     0.021285     0.001853     0.149937
         103     0.020935     0.001989     0.147367
         104     0.020550     0.001671     0.144831
         105     0.020179     0.001726     0.142161
         106     0.019787     0.001895     0.139274
         107     0.019365     0.001605     0.136457
         108     0.018952     0.001617     0.133521
         109     0.018532     0.001781     0.130433
         110     0.018087     0.001536     0.127436
         111     0.017653     0.001522     0.124357
         112     0.017222     0.001667     0.121208
         113     0.016778     0.001471     0.118182
         114     0.016344     0.001435     0.115125
         115     0.015927     0.001549     0.112088
