             Fingerprints used:
             Type:  BP
             Pt:  20 G1s   6 G2s
    0.07s: Processing training data
             Number of training images: 500
    0.83s: Trying to load training fingerprints
             Fingerprints were not found
    0.83s: Calculating training fingerprints
    0.83s: Training
       Epoch      CumLoss     EnergyRMSE   ForceRMSE
           1     0.054589     0.022231     0.352540
           2     0.051913     0.014550     0.352367
           3     0.050395     0.007655     0.352212
           4     0.049911     0.003499     0.352053
           5     0.050121     0.006008     0.351856
           6     0.050554     0.009116     0.351613
           7     0.050837     0.010752     0.351344
           8     0.050848     0.010981     0.351067
           9     0.050640     0.010161     0.350796
          10     0.050325     0.008661     0.350539
          11     0.050007     0.006823     0.350296
          12     0.049759     0.005009     0.350063
          13     0.049614     0.003727     0.349831
          14     0.049566     0.003553     0.349585
          15     0.049585     0.004287     0.349309
          16     0.049628     0.005204     0.348987
          17     0.049652     0.005902     0.348606
          18     0.049631     0.006247     0.348153
          19     0.049553     0.006218     0.347622
          20     0.049423     0.005859     0.347006
          21     0.049256     0.005258     0.346300
          22     0.049072     0.004542     0.345499
          23     0.048888     0.003888     0.344597
          24     0.048717     0.003508     0.343590
          25     0.048562     0.003540     0.342470
          26     0.048415     0.003907     0.341233
          27     0.048266     0.004394     0.339875
          28     0.048099     0.004821     0.338396
          29     0.047901     0.005082     0.336803
          30     0.047668     0.005133     0.335106
          31     0.047401     0.004982     0.333320
          32     0.047108     0.004676     0.331461
          33     0.046801     0.004294     0.329539
          34     0.046489     0.003934     0.327551
          35     0.046177     0.003676     0.325485
          36     0.045863     0.003547     0.323327
          37     0.045542     0.003513     0.321071
          38     0.045211     0.003519     0.318719
          39     0.044869     0.003541     0.316283
          40     0.044521     0.003596     0.313779
          41     0.044172     0.003727     0.311230
          42     0.043830     0.003953     0.308661
          43     0.043495     0.004237     0.306095
          44     0.043165     0.004505     0.303553
          45     0.042831     0.004680     0.301046
          46     0.042487     0.004711     0.298575
          47     0.042131     0.004591     0.296135
          48     0.041765     0.004353     0.293715
          49     0.041396     0.004061     0.291304
          50     0.041031     0.003789     0.288892
          51     0.040672     0.003591     0.286471
          52     0.040320     0.003477     0.284043
